                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.97724,                 4.3178,                 1.2404,                0.09295,                0.21732,                0.05972,                0.04699,                0.77833,                 2.8396,                 1.0866,               0.070265,              0.0033038,              0.0033038
                      2,                0.88918,                 2.7426,                 1.1462,                0.10291,                0.22638,                0.10444,                0.07847,                0.89327,                  3.123,                 1.1296,                 0.0402,              0.0065715,              0.0065715
                      3,                 1.0109,                 2.6366,                 1.2023,                0.15944,                0.14991,                0.06405,                0.04133,                 1.3432,                 3.6338,                 1.4757,               0.010068,              0.0097731,              0.0097731
                      4,                 1.1237,                   2.72,                 1.2843,                0.07463,                0.17232,                  0.068,                0.04296,                 1.3947,                 3.5782,                 1.5367,               0.009703,               0.009703,               0.009703
                      5,                  1.094,                 2.5845,                 1.2625,                0.15257,                0.22913,                0.14033,                  0.095,                 1.1482,                 2.6061,                 1.2858,               0.009703,               0.009703,               0.009703
                      6,                 1.0573,                 2.4493,                 1.2333,                0.19756,                0.26927,                0.16974,                 0.1207,                 1.0505,                 2.5487,                 1.2292,               0.009604,               0.009604,               0.009604
                      7,                 1.0133,                 2.3188,                 1.2088,                   0.19,                0.20683,                0.12164,                0.08674,                  1.221,                 2.9126,                 1.3592,               0.009505,               0.009505,               0.009505
                      8,                0.98267,                 2.2557,                  1.191,                0.26549,                0.31974,                 0.2405,                0.17767,                0.96338,                 2.1914,                 1.1518,               0.009406,               0.009406,               0.009406
                      9,                0.95196,                 2.1443,                 1.1772,                0.25234,                0.31732,                0.23737,                0.18323,                0.89093,                 2.2633,                 1.1266,               0.009307,               0.009307,               0.009307
                     10,                0.92711,                 2.0718,                 1.1634,                0.32808,                 0.3334,                0.28235,                0.21963,                0.85724,                 2.0749,                 1.1051,               0.009208,               0.009208,               0.009208
                     11,                0.90911,                 1.9956,                 1.1474,                0.30698,                0.35723,                0.30531,                0.23568,                0.85863,                 2.0372,                 1.0972,               0.009109,               0.009109,               0.009109
                     12,                0.88742,                  1.931,                 1.1377,                0.35158,                0.32618,                0.30122,                0.23321,                0.82446,                 2.0573,                 1.0899,                0.00901,                0.00901,                0.00901
